state,ice_cream,pizza
Alabama,18,82
Alaska,14,86
Arizona,15,85
Arkansas,14,86
California,20,80
Colorado,16,84
Connecticut,14,86
Delaware,13,87
District of Columbia,18,82
Florida,17,83
Georgia,18,82
Hawaii,23,77
Idaho,16,84
Illinois,15,85
Indiana,13,87
Iowa,16,84
Kansas,15,85
Kentucky,14,86
Louisiana,15,85
Maine,20,80
Maryland,17,83
Massachusetts,17,83
Michigan,15,85
Minnesota,15,85
Mississippi,14,86
Missouri,17,83
Montana,12,88
Nebraska,16,84
Nevada,15,85
New Hampshire,16,84
New Jersey,18,82
New Mexico,14,86
New York,19,81
North Carolina,16,84
North Dakota,10,90
Ohio,14,86
Oklahoma,14,86
Oregon,15,85
Pennsylvania,13,87
Rhode Island,14,86
South Carolina,16,84
South Dakota,15,85
Tennessee,16,84
Texas,17,83
Utah,22,78
Vermont,16,84
Virginia,17,83
Washington,17,83
West Virginia,12,88
Wisconsin,15,85
Wyoming,16,84
