date,ice_cream,pizza,isPartial,year,month_num,year_month,season
2020-01-01,11,87,False,2020,1,2020-01,Winter
2020-02-01,12,90,False,2020,2,2020-02,Winter
2020-03-01,12,86,False,2020,3,2020-03,Spring
2020-04-01,14,97,False,2020,4,2020-04,Spring
2020-05-01,19,95,False,2020,5,2020-05,Spring
2020-06-01,21,95,False,2020,6,2020-06,Summer
2020-07-01,24,96,False,2020,7,2020-07,Summer
2020-08-01,20,89,False,2020,8,2020-08,Summer
2020-09-01,16,82,False,2020,9,2020-09,Fall
2020-10-01,12,92,False,2020,10,2020-10,Fall
2020-11-01,10,81,False,2020,11,2020-11,Fall
2020-12-01,10,91,False,2020,12,2020-12,Winter
2021-01-01,12,91,False,2021,1,2021-01,Winter
2021-02-01,13,93,False,2021,2,2021-02,Winter
2021-03-01,15,87,False,2021,3,2021-03,Spring
2021-04-01,17,92,False,2021,4,2021-04,Spring
2021-05-01,19,93,False,2021,5,2021-05,Spring
2021-06-01,23,93,False,2021,6,2021-06,Summer
2021-07-01,24,97,False,2021,7,2021-07,Summer
2021-08-01,21,90,False,2021,8,2021-08,Summer
2021-09-01,15,87,False,2021,9,2021-09,Fall
2021-10-01,12,87,False,2021,10,2021-10,Fall
2021-11-01,11,83,False,2021,11,2021-11,Fall
2021-12-01,11,93,False,2021,12,2021-12,Winter
2022-01-01,12,86,False,2022,1,2022-01,Winter
2022-02-01,13,91,False,2022,2,2022-02,Winter
2022-03-01,15,84,False,2022,3,2022-03,Spring
2022-04-01,16,86,False,2022,4,2022-04,Spring
2022-05-01,20,83,False,2022,5,2022-05,Spring
2022-06-01,23,89,False,2022,6,2022-06,Summer
2022-07-01,26,100,False,2022,7,2022-07,Summer
2022-08-01,20,83,False,2022,8,2022-08,Summer
2022-09-01,15,79,False,2022,9,2022-09,Fall
2022-10-01,13,77,False,2022,10,2022-10,Fall
2022-11-01,11,74,False,2022,11,2022-11,Fall
2022-12-01,11,83,False,2022,12,2022-12,Winter
2023-01-01,12,79,False,2023,1,2023-01,Winter
2023-02-01,13,83,False,2023,2,2023-02,Winter
2023-03-01,15,78,False,2023,3,2023-03,Spring
2023-04-01,18,77,False,2023,4,2023-04,Spring
2023-05-01,21,75,False,2023,5,2023-05,Spring
2023-06-01,23,82,False,2023,6,2023-06,Summer
2023-07-01,26,82,False,2023,7,2023-07,Summer
2023-08-01,20,77,False,2023,8,2023-08,Summer
2023-09-01,15,74,False,2023,9,2023-09,Fall
2023-10-01,12,75,False,2023,10,2023-10,Fall
2023-11-01,11,74,False,2023,11,2023-11,Fall
2023-12-01,12,79,False,2023,12,2023-12,Winter
2024-01-01,12,72,False,2024,1,2024-01,Winter
2024-02-01,13,74,False,2024,2,2024-02,Winter
2024-03-01,16,80,False,2024,3,2024-03,Spring
2024-04-01,18,75,False,2024,4,2024-04,Spring
2024-05-01,21,74,False,2024,5,2024-05,Spring
2024-06-01,25,84,False,2024,6,2024-06,Summer
2024-07-01,24,79,False,2024,7,2024-07,Summer
2024-08-01,20,77,False,2024,8,2024-08,Summer
2024-09-01,15,70,False,2024,9,2024-09,Fall
2024-10-01,13,69,False,2024,10,2024-10,Fall
2024-11-01,12,66,False,2024,11,2024-11,Fall
2024-12-01,12,70,False,2024,12,2024-12,Winter
2025-01-01,12,65,False,2025,1,2025-01,Winter
2025-02-01,13,68,False,2025,2,2025-02,Winter
2025-03-01,18,67,False,2025,3,2025-03,Spring
2025-04-01,18,67,False,2025,4,2025-04,Spring
2025-05-01,22,68,False,2025,5,2025-05,Spring
2025-06-01,25,73,False,2025,6,2025-06,Summer
2025-07-01,26,78,False,2025,7,2025-07,Summer
2025-08-01,22,71,False,2025,8,2025-08,Summer
2025-09-01,17,64,False,2025,9,2025-09,Fall
2025-10-01,15,67,False,2025,10,2025-10,Fall
2025-11-01,13,68,False,2025,11,2025-11,Fall
2025-12-01,14,73,False,2025,12,2025-12,Winter
