"business_id","name","city","state","stars","review_count","categories"
"CF33F8-E6oudUQ46HnavjQ","Sonic Drive-In","Ashland City","Tennessee","2.0","6","Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants"
"bBDDEgkFA1Otx9Lfe7BZUQ","Sonic Drive-In","Nashville","Tennessee","1.5","10","Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food"
"sqSqqLy0sN8n2IZrAbzidQ","Domino's Pizza","White House","Tennessee","3.5","8","Pizza, Chicken Wings, Sandwiches, Restaurants"
"Mjboz24M9NlBeiOJKLEd_Q","DeSandro on Main","Philadelphia","Pennsylvania","3.0","41","Pizza, Restaurants, Salad, Soup"
"kV_Q1oqis8Qli8dUoGpTyQ","Ardmore Pizza","Ardmore","Pennsylvania","3.5","109","Pizza, Restaurants"
"ljxNT9p0y7YMPx0fcNBGig","Tony's Restaurant & 3rd Street Cafe","Alton","Illinois","3.0","94","Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops"
"txyXRytGjwOXvS8s4sc-WA","Smoothie King","Tucson","Arizona","3.0","29","Vitamins & Supplements, Ice Cream & Frozen Yogurt, Food, Juice Bars & Smoothies, Shopping"
"JgpnXv_0XhV3SfbfB50nxw","Joe's Pizza","Tampa","Florida","4.0","35","Restaurants, Pizza"
"oaboaRBUgGjbo2kfUIKDLQ","Mike's Ice Cream","Nashville","Tennessee","4.5","593","Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food"
"anLQj9AM8vjbcLSIE0iUgg","Papa Murphy's","Tucson","Arizona","4.0","22","Pizza, Restaurants"
"k0yyD71s2F2eEKWRdkZ6jA","Cold Stone Creamery","Indianapolis","Indiana","3.0","19","Custom Cakes, Food, Desserts, Cupcakes, Ice Cream & Frozen Yogurt"
"1GnJDrpp-jyDRCptavD9RQ","Rita's Italian Ice","Aston","Pennsylvania","4.0","7","Food, Ice Cream & Frozen Yogurt, Desserts, Shaved Ice"
"LGqiubTmpJ-A1L5n7dmc6g","Domino's Pizza","Harvey","Louisiana","1.5","14","Restaurants, Sandwiches, Pizza, Chicken Wings"
"59jkCUm4yHciKL1KW_1HJA","Roma Pizza & Italian Eatery","Warrington","Pennsylvania","2.5","25","Pizza, Restaurants"
"tSFXJ0GFl5iUdy021YgWLw","The Mad Griddle ","Indianapolis","Indiana","5.0","7","Arts & Entertainment, Nightlife, Jazz & Blues, Restaurants, Pizza, Southern"
"6BF3eaIzHtoNHSxKTFnTyg","Mister B's Cigar Box","Avon","Indiana","3.5","13","Bars, Lounges, Nightlife, Pizza, Restaurants, Shopping, Tobacco Shops, Hookah Bars"
"Y6heWJJ9AmEL58fZwgi9YQ","Rosati's Pizza","Tucson","Arizona","4.0","58","Sports Bars, Bars, Nightlife, Italian, Restaurants, Pizza"
"Edg22x3CZkIv0GUib2oEFA","Mellow Mushroom","New Orleans","Louisiana","3.5","149","Pizza, Restaurants, Bars, Nightlife, Sandwiches"
"YR0nwxBOKk6DiLHNItfsBQ","Boston Pizza","St Albert","","3.5","14","Italian, Chicken Wings, Pizza, Restaurants"
"JF7iyI3wA_AKi_iXOKi0Qw","Parlor Suburban Square","Ardmore","Pennsylvania","3.5","61","Italian, Pizza, Gluten-Free, Restaurants, Bars, Wine Bars, Nightlife"
"V-96iACFgPmVjjKACGxd7Q","Fusion Pizza & Grill","Philadelphia","Pennsylvania","2.5","6","Ethnic Food, Specialty Food, Restaurants, Food, Pizza"
"bDAlJYMIzwOewIThe2IZjQ","Domino's Pizza","Indianapolis","Indiana","4.0","12","Chicken Wings, Sandwiches, Restaurants, Pizza"
"OfW-VK04qr7b7bPm5QbyLg","Taqueria Feliz","Horsham","Pennsylvania","3.0","77","Mexican, Pizza, Restaurants"
"bSJczuohHVko33UT82hnfA","Blaze Pizza","New Orleans","Louisiana","4.0","302","Pizza, Fast Food, Gluten-Free, Restaurants, Salad"
"uyc-S7lauYjzouYQ2TM76A","Papa John's Pizza","Saint Louis","Missouri","2.0","9","Pizza, Restaurants"
"j9Kaj_6tSeXmVMYCgZithg","Noble Crust","Wesley Chapel","Florida","4.5","496","Restaurants, Italian, Nightlife, Southern, Bars, Breakfast & Brunch, Pizza"
"EIlFs8kybcG-l60GJjNUIA","Domino's Pizza","Oldsmar","Florida","2.5","20","Pizza, Chicken Wings, Restaurants, Sandwiches"
